Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,7.713333,7.713333,7.626667,7.626667,0.639431,387200
1962-01-03,7.626667,7.693333,7.626667,7.693333,0.645021,288000
1962-01-04,7.693333,7.693333,7.613333,7.616667,0.638593,256000
1962-01-05,7.606667,7.606667,7.453333,7.466667,0.626017,363200
1962-01-08,7.460000,7.460000,7.266667,7.326667,0.614279,544000
1962-01-09,7.360000,7.506667,7.360000,7.413333,0.621545,491200
1962-01-10,7.426667,7.460000,7.426667,7.426667,0.622663,299200
1962-01-11,7.446667,7.506667,7.446667,7.506667,0.629370,315200
1962-01-12,7.520000,7.573333,7.520000,7.520000,0.630488,435200
1962-01-15,7.546667,7.570000,7.546667,7.553333,0.633283,251200
1962-01-16,7.546667,7.546667,7.473333,7.473333,0.626576,251200
1962-01-17,7.440000,7.440000,7.333333,7.353333,0.616515,419200
1962-01-18,7.373333,7.446667,7.373333,7.373333,0.618191,371200
1962-01-19,7.373333,7.393333,7.293334,7.380000,0.618750,400000
1962-01-22,7.380000,7.453333,7.360000,7.366667,0.617632,275200
1962-01-23,7.363333,7.373333,7.280000,7.293334,0.611484,371200
1962-01-24,7.293334,7.333333,7.256667,7.333333,0.614838,408000
1962-01-25,7.333333,7.393333,7.240000,7.253334,0.608131,315200
1962-01-26,7.253334,7.280000,7.213333,7.216667,0.605056,243200
1962-01-29,7.216667,7.266667,7.093333,7.093333,0.594716,579200
1962-01-30,7.093333,7.133333,7.003334,7.003334,0.587170,736000
1962-01-31,7.073333,7.226666,7.073333,7.226666,0.605895,760000
1962-02-01,7.300000,7.413333,7.300000,7.393333,0.619868,640000
1962-02-02,7.393333,7.440000,7.360000,7.440000,0.623781,507200
1962-02-05,7.440000,7.440000,7.306667,7.346667,0.615956,312000
1962-02-06,7.346667,7.360000,7.320000,7.353333,0.616598,256000
1962-02-07,7.360000,7.400000,7.360000,7.360000,0.617157,251200
1962-02-08,7.360000,7.400000,7.360000,7.366667,0.617716,16000
1962-02-09,7.366667,7.420000,7.333333,7.420000,0.622189,432000
1962-02-12,7.420000,7.480000,7.413333,7.426667,0.622748,280000
1962-02-13,7.426667,7.433333,7.306667,7.306667,0.612685,256000
1962-02-14,7.306667,7.333333,7.280000,7.293334,0.611568,208000
1962-02-15,7.293334,7.293334,7.260000,7.266667,0.609331,227200
1962-02-16,7.266667,7.293334,7.260000,7.260000,0.608773,219200
1962-02-19,7.260000,7.293334,7.173333,7.186666,0.602623,280000
1962-02-20,7.190000,7.226666,7.190000,7.190000,0.602903,288000
1962-02-21,7.190000,7.240000,7.136667,7.136667,0.598431,363200
1962-02-23,7.146667,7.173333,7.146667,7.160000,0.600387,288000
1962-02-26,7.160000,7.166667,7.120000,7.133333,0.598151,299200
1962-02-27,7.133333,7.193333,7.093333,7.146667,0.599269,347200
1962-02-28,7.146667,7.160000,7.106667,7.160000,0.600387,267200
1962-03-01,7.186666,7.246666,7.186666,7.246666,0.607655,280000
1962-03-02,7.306667,7.346667,7.306667,7.306667,0.612685,243200
1962-03-05,7.306667,7.306667,7.253334,7.280000,0.610449,360000
1962-03-06,7.280000,7.313334,7.266667,7.286667,0.611009,184000
1962-03-07,7.286667,7.310000,7.266667,7.310000,0.612965,123200
1962-03-08,7.310000,7.326667,7.266667,7.326667,0.614363,184000
1962-03-09,7.333333,7.373333,7.333333,7.373333,0.618276,288000
1962-03-12,7.373333,7.393333,7.346667,7.366667,0.617716,280000
1962-03-13,7.366667,7.366667,7.333333,7.360000,0.617157,123200
1962-03-14,7.360000,7.380000,7.333333,7.346667,0.616039,195200
1962-03-15,7.346667,7.386667,7.333333,7.333333,0.614921,243200
1962-03-16,7.333333,7.366667,7.333333,7.366667,0.617716,160000
1962-03-19,7.380000,7.413333,7.380000,7.386667,0.619394,371200
1962-03-20,7.373333,7.373333,7.340000,7.340000,0.615481,160000
1962-03-21,7.340000,7.360000,7.320000,7.346667,0.616039,256000
1962-03-22,7.320000,7.320000,7.266667,7.266667,0.609331,240000
1962-03-23,7.273334,7.306667,7.273334,7.293334,0.611568,184000
1962-03-26,7.293334,7.320000,7.280000,7.290000,0.611288,131200
1962-03-27,7.273334,7.273334,7.146667,7.153333,0.599828,347200
1962-03-28,7.160000,7.213333,7.160000,7.193333,0.603182,328000
1962-03-29,7.193333,7.226666,7.173333,7.173333,0.601505,227200
1962-03-30,7.160000,7.160000,7.070000,7.103333,0.595635,435200
1962-04-02,7.100000,7.100000,7.006667,7.006667,0.587530,371200
1962-04-03,7.000000,7.000000,6.760000,6.833333,0.572995,912000
1962-04-04,6.833333,6.893333,6.803333,6.803333,0.570479,648000
1962-04-05,6.840000,6.946667,6.840000,6.946667,0.582498,912000
1962-04-06,6.946667,7.000000,6.893333,6.940000,0.581939,432000
1962-04-09,6.940000,6.980000,6.893333,6.946667,0.582498,16000
1962-04-10,6.946667,6.973333,6.906667,6.973333,0.584734,256000
1962-04-11,6.973333,7.026667,6.880000,6.880000,0.576908,528000
1962-04-12,6.880000,6.893333,6.806667,6.806667,0.570759,400000
1962-04-13,6.806667,6.906667,6.800000,6.906667,0.579144,627200
1962-04-16,6.906667,6.953333,6.826667,6.900000,0.578585,507200
1962-04-17,6.900000,6.933333,6.866667,6.933333,0.581380,299200
1962-04-18,6.933333,6.993333,6.913333,6.920000,0.580263,424000
1962-04-19,6.920000,6.946667,6.893333,6.920000,0.580263,387200
1962-04-23,6.920000,6.926667,6.886667,6.913333,0.579703,312000
1962-04-24,6.913333,6.956666,6.900000,6.906667,0.579144,456000
1962-04-25,6.906667,6.933333,6.833333,6.833333,0.572995,459200
1962-04-26,6.826667,6.826667,6.660000,6.660000,0.558461,928000
1962-04-27,6.660000,6.733333,6.400000,6.473333,0.542808,1632000
1962-04-30,6.473333,6.533333,6.000000,6.053333,0.507589,2344000
1962-05-01,6.053333,6.193333,5.733333,6.160000,0.516534,5315200
1962-05-02,6.266667,6.453333,6.266667,6.300000,0.528274,2555200
1962-05-03,6.300000,6.453333,6.253334,6.430000,0.539174,1360000
1962-05-04,6.430000,6.480000,6.366667,6.480000,0.543368,779200
1962-05-07,6.480000,6.530000,6.336667,6.336667,0.531348,827200
1962-05-08,6.328333,6.328333,6.126667,6.126667,0.513820,1032000
1962-05-09,6.126667,6.183333,6.000000,6.013333,0.504315,1600000
1962-05-10,6.013333,6.130000,5.986667,6.040000,0.506552,1907200
1962-05-11,6.040000,6.133333,5.920000,5.946667,0.498724,1896000
1962-05-14,5.946667,6.060000,5.843333,6.060000,0.508229,2728000
1962-05-15,6.060000,6.173333,6.026667,6.026667,0.505434,1683200
1962-05-16,6.026667,6.126667,6.026667,6.093333,0.511025,880000
1962-05-17,6.093333,6.093333,5.960000,5.986667,0.502079,971200
1962-05-18,5.986667,6.020000,5.940000,6.020000,0.504874,731200
1962-05-21,6.020000,6.020000,5.946667,6.000000,0.503197,395200
1962-05-22,5.993333,5.993333,5.800000,5.800000,0.486424,1000000
1962-05-23,5.800000,5.840000,5.536667,5.536667,0.464339,2891200
1962-05-24,5.536667,5.680000,5.306667,5.306667,0.445050,4152000
1962-05-25,5.306667,5.426667,5.173333,5.313334,0.445609,4299200
1962-05-28,5.293334,5.293334,4.733333,4.813334,0.403676,4320000
1962-05-29,4.873333,5.160000,4.873333,5.106667,0.428277,3856000
1962-05-31,5.200000,5.333333,5.200000,5.233333,0.438900,4128000
1962-06-01,5.213333,5.213333,5.103333,5.133333,0.430513,2411200
1962-06-04,5.066667,5.066667,4.800000,4.800000,0.402558,1811200
1962-06-05,4.800000,4.986667,4.706666,4.855000,0.407170,3160000
1962-06-06,4.855000,5.013333,4.826667,4.873333,0.408708,2880000
